branch,district
Afzalpur,Gulbarga
Anekal,Bangalore
Arsikere,Hassan
Arkalgud,Hassan
Athani,Belgaum
Aurad,Bidar
Badami,Bagalkot
Bagalkot,Bagalkot
Bagepalli,Chikkaballapura
Bailhongal,Belgaum
Bangarpet,Kolar
Bantwal,Dakshina Kannada
Basavakalyan,Bidar
Basavan Bagevadi,Bijapur
Belgaum,Belgaum
Bellary,Bellary
Belthangady,Dakshina Kannada
Belur,Hassan
Bhadravathi,Shimoga
Bhalki,Bidar
Bidar,Bidar
Bijapur,Bijapur
Challakere,Chitradurga
Chamarajanagar,Chamarajanagar
Channagere,Davanagere
Channapatna,Ramanagara
Channarayapatna,Hassan
Chikamagalur,Chikmagalur
Chikkaballapura,Chikkaballapura
Chiknayakanahalli,Tumkur
Chikodi,Belgaum
Chintamani,Chikkaballapura
Chitapur,Gulbarga
Chitradurga,Chitradurga
Dandeli,Uttara Kannada
Davanagere,Davanagere
Devadurga,Raichur
Devanahalli,Bangalore Rural
Devdurga,Raichur
Dharwad,Dharwad
Doddaballapur,Bangalore Rural
Gadaga,Gadag
Gangavathi,Koppal
Gauribidanur,Chikkaballapura
Gokak,Belgaum
Gubbi,Tumkur
Gundlupet,Chamarajanagar
Hagaribommanahalli,Bellary
Hanagal,Haveri
Harappanahalli,Davanagere
Harihara,Davanagere
Hassan,Hassan
Haveri,Haveri
Heggadevanakote,Mysore
Hirekerur,Haveri
Hiriyur,Chitradurga
Holalkere,Chitradurga
Holenarasipura,Hassan
Homnabad,Bidar
Honnali,Davanagere
Honnavar,Uttara Kannada
Hosadurga,Chitradurga
Hosakote,Bangalore Rural
Hosanagar,Shimoga
Hosapete,Bellary
Hubli,Dharwad
Hukeri,Belgaum
Hungund,Bagalkot
Hunsur,Mysore
Huvinahadagali,Bellary
Indi,Bijapur
Jagalur,Davanagere
Jamkhandi,Bagalkot
Jevargi,Gulbarga
Kadur,Chikmagalur
Kanakapura,Ramanagara
Karkala,Udupi
Karwar,Uttara Kannada
Khanapur,Belgaum
Kinnigoli,Dakshina Kannada
Kittur,Belgaum
Kolar,Kolar
Kollegal,Chamarajanagar
Koppa,Chikmagalur
Koppal,Koppal
Koratagere,Tumkur
Krishnarajapete,Mandya
Krishnarajnagara,Mysore
Kudligi,Bellary
Kumble-Kasargud,Kasargod
Kumta,Uttara Kannada
Kundagol,Dharwad
Kundapur,Udupi
Kundapur B,Udupi
Kunigal,Tumkur
Kushtagi,Koppal
Lingsugar,Raichur
Maddur,Mandya
Madhugiri,Tumkur
Magadi,Ramanagara
Malavalli,Mandya
Malur,Kolar
Mandya,Mandya
Mangalore Urban,Dakshina Kannada
Mangalore Urban,Dakshina Kannada
Manvi,Raichur
Molakalmuru,Chitradurga
Mudigere,Chikmagalur
Mudalagi,Belgaum
Muddebihal,Bijapur
Mudhol,Bagalkot
Mulubagilu,Kolar
Mysore,Mysore
Nagamangala,Mandya
Nanjanagudu,Mysore
Navalgunda,Dharwad
Nelamangala,Bangalore Rural
Pandavapura,Mandya
Pavagada,Tumkur
Piriyapatna,Mysore
Puttur,Dakshina Kannada
Raichur,Raichur
Ramanagara,Ramanagara
Ramdurg,Belgaum
Ranebennur,Haveri
Raichur,Raichur
Raybag,Belgaum
Rona,Gadag
Sagar,Shimoga
Sakleshpura,Hassan
Sandoor,Bellary
Sandur,Bellary
Saundatti,Belgaum
Saundatti,Belgaum
Sedam,Gulbarga
Shahpur,Yadgir
Sidlaghatta,Chikkaballapura
Shiggaon,Haveri
Shiggaon,Haveri
Shikarpur,Shimoga
Shikarpur,Shimoga
Shimoga,Shimoga
Shirahatti,Gadag
Shorapur,Yadgir
Srinivasapura,Kolar
Shrirangapatna,Mandya
Sindagi,Bijapur
Sindhanur,Raichur
Sira,Tumkur
Sirsi,Uttara Kannada
Sirsi,Uttara Kannada
Siruguppa,Bellary
Somwarpet,Kodagu
Sorab,Shimoga
Sullia,Dakshina Kannada
Tarikere,Chikmagalur
Thirumakudal-Narasipura,Mysore
Tiptur,Tumkur
Tirthahalli,Shimoga
Tumkur,Tumkur
Turuvekere,Tumkur
Udupi,Udupi
Virajpet,Kodagu
Yadgir,Yadgir
Yelburga,Koppal
Yelendur,Chamarajanagar
Yellapur-Mundgod,Uttara Kannada
Puttur,Dakshina Kannada
